posX posY force flexion t0 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 t20 t21 t22 t23 t24 t25 t26 t27
0.0 0.0 0.0 0.0 15684 12684 17025 10565 21869 15859 10839 10889 26564 9965 10168 10180 35818 7880 9819 10035 35632 10814 13422 15848 11182 35675 10866 15509 35658 11153 10539 16242
0.0 0.0 0.0 0.0 15670 12699 17012 10567 21871 15859 10837 10887 26516 9961 10167 10185 35805 7893 9817 10033 35633 10807 13424 15849 11171 35660 10872 15514 35666 11156 10537 16244
0.0 0.0 0.0 0.0 15698 12684 17046 10565 21885 15849 10838 10885 26566 9979 10162 10181 35805 7912 9821 10041 35593 10810 13420 15846 11174 35654 10870 15507 35655 11151 10545 16225
0.0 0.0 0.0 0.0 15697 12706 17012 10566 21876 15889 10837 10885 26555 9965 10171 10177 35809 7837 9821 10043 35639 10807 13423 15847 11167 35663 10872 15521 35654 11157 10545 16220
0.0 0.0 0.0 0.0 15678 12699 17011 10565 21878 15860 10837 10883 26570 9964 10161 10173 35799 7867 9814 10047 35617 10810 13419 15844 11173 35655 10863 15516 35661 11152 10538 16230
0.0 0.0 0.0 0.0 15671 12682 17030 10565 21862 15850 10838 10885 26530 9970 10161 10182 35825 7882 9821 10035 35637 10803 13413 15850 11170 35658 10866 15528 35657 11148 10541 16216
4.0 4.0 4.88 1.116 16792 13020 17098 10645 22261 16106 10901 10948 26627 10017 10215 10234 35864 7942 9868 10078 35692 10844 13476 15917 11201 35696 10908 15569 35733 11212 10596 16307
4.0 4.0 10.74 1.506 17071 13148 17134 10639 22466 16128 10907 10949 26634 10011 10220 10227 35893 7930 9862 10088 35719 10842 13481 15925 11194 35697 10903 15592 35754 11234 10597 16324
4.0 4.0 14.26 1.677 17199 13215 17108 10637 22559 16160 10903 10948 26607 10012 10217 10231 35892 7913 9857 10083 35711 10828 13484 15922 11202 35689 10894 15578 35739 11221 10596 16327
4.0 4.0 19.76 1.908 17337 13241 17105 10641 22658 16233 10906 10949 26586 10020 10219 10231 35868 7943 9856 10086 35681 10828 13475 15919 11189 35665 10894 15571 35726 11227 10586 16329
4.0 4.0 24.68 2.07 17462 13259 17118 10651 22694 16261 10909 10955 26610 10019 10222 10228 35871 7930 9852 10076 35672 10834 13469 15903 11178 35674 10892 15578 35741 11214 10586 16336
4.0 4.0 27.92 2.22 17561 13316 17129 10655 22766 16303 10917 10957 26603 10021 10222 10233 35850 7949 9855 10079 35693 10824 13468 15919 11183 35642 10887 15583 35743 11213 10576 16347
4.0 4.0 34.46 52.455 17779 13363 17126 10666 22831 16364 10919 10958 26589 10029 10223 10240 35850 7910 9871 10082 35686 10811 13454 15919 11173 35610 10872 15572 35737 11192 10578 16361
4.0 4.0 41.0 2.606 17972 13387 17147 10675 22895 16424 10925 10964 26609 10031 10227 10243 35859 7928 9853 10080 35673 10807 13453 15908 11175 35590 10874 15590 35730 11197 10574 16350
4.0 4.0 45.16 2.691 18087 13408 17141 10685 22941 16413 10924 10969 26565 10036 10230 10237 35869 7949 9867 10081 35671 10804 13451 15917 11155 35590 10874 15588 35744 11201 10569 16365
4.0 4.0 48.14 2.79 18215 13428 17177 10699 22982 16445 10939 10972 26612 10048 10235 10244 35865 7960 9858 10082 35654 10810 13448 15919 11163 35579 10869 15589 35741 11200 10559 16369
8.0 4.0 5.48 1.586 15876 13989 17143 10607 21949 16386 10930 10923 26539 10004 10204 10203 35814 7894 9837 10060 35650 10794 13436 15867 11137 35584 10858 15526 35705 11183 10552 16276
8.0 4.0 10.1 1.838 15985 14274 17161 10613 21924 16563 10946 10924 26571 10008 10210 10209 35804 7910 9833 10058 35647 10783 13430 15869 11138 35580 10857 15543 35701 11160 10544 16281
8.0 4.0 15.06 2.058 16080 14483 17162 10620 21956 16722 10960 10932 26582 10011 10222 10212 35831 7911 9846 10070 35657 10783 13429 15869 11140 35564 10854 15540 35689 11162 10540 16301
8.0 4.0 19.96 2.283 16147 14703 17193 10636 22000 16865 10979 10940 26566 10014 10231 10217 35827 7900 9850 10066 35644 10779 13431 15869 11135 35564 10855 15548 35693 11160 10533 16301
8.0 4.0 24.56 2.431 16224 14816 17202 10644 21998 16906 11007 10947 26604 10018 10235 10229 35831 7898 9840 10081 35644 10779 13436 15877 11129 35553 10855 15546 35694 11175 10539 16314
8.0 4.0 28.86 2.615 16223 14956 17251 10659 22032 17033 11020 10953 26559 10017 10244 10234 35821 7917 9846 10084 35643 10768 13427 15880 11125 35547 10850 15536 35689 11157 10537 16308
8.0 4.0 34.8 2.77 16313 15141 17247 10670 22042 17116 11052 10960 26575 10031 10254 10234 35798 7920 9835 10076 35632 10773 13428 15862 11130 35555 10845 15551 35691 11159 10545 16311
8.0 4.0 39.02 2.875 16374 15233 17294 10686 22108 17171 11077 10965 26565 10025 10267 10236 35807 7869 9839 10089 35625 10775 13421 15885 11133 35550 10846 15534 35704 11159 10540 16315
8.0 4.0 45.5 3.021 16436 15419 17322 10701 22105 17241 11079 10972 26556 10035 10271 10246 35812 7900 9839 10094 35610 10761 13419 15881 11116 35529 10843 15536 35702 11162 10538 16314
8.0 4.0 49.86 3.121 16489 15550 17351 10711 22143 17259 11098 10971 26549 10041 10278 10254 35811 7901 9847 10100 35601 10766 13426 15895 11116 35529 10841 15516 35693 11157 10535 16300
12.0 4.0 5.28 0.756 15668 13390 18094 10645 21934 16158 11210 10939 26561 10011 10218 10222 35834 7899 9859 10059 35640 10818 13457 15896 11154 35684 10949 15561 35701 11189 10611 16282
12.0 4.0 10.02 1.042 15678 13560 18367 10673 21922 16209 11373 10942 26565 10000 10229 10213 35836 7907 9837 10064 35638 10797 13434 15882 11153 35642 10912 15553 35693 11183 10594 16287
12.0 4.0 14.72 1.271 15669 13646 18531 10697 21917 16240 11485 10949 26581 10006 10233 10211 35827 7863 9845 10056 35643 10777 13437 15882 11124 35578 10858 15536 35690 11178 10559 16288
